                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5476,                 3.9408,                 1.7354,                0.64113,                0.31328,                0.39948,                 0.2322,                  1.527,                 2.9743,                 1.6276,              3.335e-05,              3.335e-05,              3.335e-05
                      2,                 1.2705,                 2.1476,                 1.4792,                0.79298,                0.65291,                0.77685,                0.45366,                 1.2084,                 4.2705,                  1.314,             6.9738e-05,             6.9738e-05,             6.9738e-05
                      3,                 1.1207,                 1.4614,                 1.3814,                0.76799,                0.90388,                0.92782,                0.57238,                 1.0816,                 2.3576,                 1.1601,             0.00010216,             0.00010216,             0.00010216
                      4,                0.99696,                 1.1571,                 1.2769,                0.77472,                0.92074,                0.96889,                0.65058,                 1.0521,                 1.9429,                  1.117,             0.00013063,             0.00013063,             0.00013063
                      5,                0.95486,                 1.0121,                 1.2271,                0.97586,                      1,                  0.995,                0.70966,                 1.0128,                 1.3002,                 1.0889,             0.00015513,             0.00015513,             0.00015513
                      6,                0.93669,                0.92221,                 1.2078,                0.95708,                 0.9969,                  0.995,                0.72487,                0.96347,                  1.165,                 1.0322,             0.00017567,             0.00017567,             0.00017567
                      7,                0.90983,                0.86087,                 1.1708,                0.97191,                      1,                  0.995,                 0.7148,                 1.0305,                  1.094,                 1.0773,             0.00019225,             0.00019225,             0.00019225
                      8,                0.89228,                0.80001,                 1.1485,                0.95895,                0.98352,                  0.995,                0.73164,                0.96398,                0.89614,                 1.0355,             0.00020487,             0.00020487,             0.00020487
                      9,                0.85559,                0.75395,                 1.1407,                0.95575,                0.98689,                  0.995,                0.73443,                0.94208,                0.74497,                 1.0208,             0.00021352,             0.00021352,             0.00021352
                     10,                0.85953,                0.72751,                 1.1105,                0.95193,                0.99209,                  0.995,                0.74943,                0.92579,                0.72324,                 1.0064,             0.00021821,             0.00021821,             0.00021821
                     11,                0.93197,                0.99477,                 1.1856,                0.87327,                0.99535,                0.98389,                0.74527,                0.90193,                 0.6883,                 1.0137,             0.00021894,             0.00021894,             0.00021894
                     12,                0.92005,                0.84694,                 1.1958,                0.97828,                0.97614,                  0.995,                0.72426,                0.95728,                0.64607,                 1.0397,             0.00021571,             0.00021571,             0.00021571
                     13,                0.86997,                0.76469,                 1.1448,                0.95935,                0.97135,                  0.995,                0.75265,                0.86852,                0.64285,                 1.0002,             0.00020852,             0.00020852,             0.00020852
                     14,                0.86417,                0.73527,                 1.1408,                 0.9545,                0.97598,                  0.995,                0.76738,                0.84408,                0.63335,                0.99194,             0.00019736,             0.00019736,             0.00019736
                     15,                0.82889,                0.72432,                 1.1112,                 0.9684,                0.97111,                  0.995,                0.75221,                0.85186,                0.60726,                0.99882,             0.00018224,             0.00018224,             0.00018224
                     16,                0.82291,                0.68357,                 1.0989,                0.96881,                0.97226,                  0.995,                0.74889,                0.87294,                0.58257,                 1.0095,             0.00016316,             0.00016316,             0.00016316
                     17,                0.80409,                0.65949,                 1.1024,                0.96636,                0.96667,                0.98944,                0.76025,                 0.8859,                0.57654,                 1.0169,             0.00013874,             0.00013874,             0.00013874
                     18,                0.80267,                0.64432,                  1.102,                0.95237,                0.99352,                  0.995,                0.76642,                0.87021,                0.56858,                 1.0078,             0.00013874,             0.00013874,             0.00013874
                     19,                0.74803,                0.60362,                 1.0473,                0.96604,                0.99628,                  0.995,                0.77193,                0.85855,                0.54982,                0.98788,             0.00010572,             0.00010572,             0.00010572
                     20,                0.75405,                0.61156,                 1.0388,                0.97077,                      1,                  0.995,                 0.7761,                0.84618,                0.54569,                0.96374,             7.2703e-05,             7.2703e-05,             7.2703e-05
